Símbolo	Nome	Tipo de Ativo
^VIX	CBOE Volatility Index	INDEX
CCRO3.SA	CCR SA      ON      NM	EQUITY
C1DW34.SA	CDW CORP    DRN	EQUITY
C1NS34.SA	Celanese Corporation	EQUITY
MAPT4.SA	Cemepe Investimentos S.A.	EQUITY
C1NC34.SA	Centene Corporation	EQUITY
ELET6.SA	Centrais Elétricas Brasileiras S.A. - Eletrobrás	EQUITY
ELET3.SA	Centrais Elétricas Brasileiras S.A. - Eletrobrás	EQUITY
CLSC3.SA	Centrais Elétricas de Santa Catarina S.A.	EQUITY
CLSC4.SA	Centrais Elétricas de Santa Catarina S.A.	EQUITY
C2RN34.SA	CERENCE INC DRN	EQUITY
C2HP34.SA	ChargePoint Holdings, Inc.	EQUITY
CHCM34.SA	Charter Communications, Inc.	EQUITY
CHVX34.SA	Chevron Corporation	EQUITY
CVX	Chevron Corporation	EQUITY
C1MG34.SA	Chipotle Mexican Grill, Inc.	EQUITY
C1BL34.SA	CHUBB LTD   DRN	EQUITY
FESA4.SA	Cia de Ferro Ligas da Bahia S.A. - FERBASA	EQUITY
FESA3.SA	Cia de Ferro Ligas da Bahia S.A. - FERBASA	EQUITY
CJCT11.SA	Cidade Jardim Continental Tower Fundo De Investimento Imobiliario	EQUITY
C1TA34.SA	Cintas Corporation	EQUITY
CSCO34.SA	Cisco Systems, Inc.	EQUITY
CSCO	Cisco Systems, Inc.	EQUITY
CTGP34.SA	CITIGROUP   DRN ED	EQUITY
C	Citigroup, Inc.	EQUITY
C1FG34.SA	Citizens Financial Group, Inc.	EQUITY
CLIN11.SA	Clave Indices De Precos Fundo De Investimento Imobiliario	EQUITY
CLSA3.SA	CLEARSALE   ON      NM	EQUITY
N2ET34.SA	Cloudflare, Inc.	EQUITY
CLOV34.SA	Clover Health Investments, Corp.	EQUITY
VVEO3.SA	VIVEO       ON      NM	EQUITY
KO	Coca-Cola Company (The)	EQUITY
C2CA34.SA	Coca-Cola FEMSA, S.A.B. de C.V.	EQUITY
COGN3.SA	COGNA ON    ON      NM	EQUITY
CTSH34.SA	Cognizant Technology Solutions Corporation	EQUITY
C2OI34.SA	Coinbase Global, Inc.	EQUITY
EURO11.SA	Coinvalores Dtvm Ltda.	EQUITY
COLG34.SA	Colgate-Palmolive Company	EQUITY
CL	Colgate-Palmolive Company	EQUITY
CMCS34.SA	Comcast Corporation	EQUITY
CBAV3.SA	Companhia Brasileira de Alumínio	EQUITY
PCAR3.SA	Companhia Brasileira De Distribuicao	EQUITY
CEEB5.SA	Companhia de Eletricidade do Estado da Bahia - COELBA	EQUITY
CEEB3.SA	Companhia de Eletricidade do Estado da Bahia - COELBA	EQUITY
CEDO4.SA	Companhia de Fiação e Tecidos Cedro e Cachoeira S.A.	EQUITY
CGAS3.SA	Companhia de Gás de São Paulo - COMGÁS	EQUITY
CGAS5.SA	Companhia de Gás de São Paulo - COMGÁS	EQUITY
PEAB3.SA	Companhia de Participações Aliança da Bahia	EQUITY
PEAB4.SA	Companhia de Participações Aliança da Bahia	EQUITY
SBSP3.SA	Companhia de Saneamento Básico do Estado de São Paulo - SABESP	EQUITY
CSMG3.SA	Companhia de Saneamento de Minas Gerais	EQUITY
SAPR11.SA	Companhia de Saneamento do Paraná - SANEPAR	EQUITY
SAPR4.SA	Companhia de Saneamento do Paraná - SANEPAR	EQUITY
SAPR3.SA	Companhia de Saneamento do Paraná - SANEPAR	EQUITY
CEBR5.SA	Companhia Energética de Brasília - CEB	EQUITY
CEBR3.SA	Companhia Energética de Brasília - CEB	EQUITY
CEBR6.SA	Companhia Energética de Brasília - CEB	EQUITY
CMIG4.SA	Companhia Energética de Minas Gerais - CEMIG	EQUITY
CMIG3.SA	Companhia Energética de Minas Gerais - CEMIG	EQUITY
COCE5.SA	Companhia Energética do Ceará - COELCE	EQUITY
HBTS5.SA	Companhia Habitasul de Participações	EQUITY
CPLE6.SA	Companhia Paranaense de Energia - COPEL	EQUITY
CPLE3.SA	Companhia Paranaense de Energia - COPEL	EQUITY
CPLE5.SA	Companhia Paranaense de Energia - COPEL	EQUITY
CSNA3.SA	Companhia Siderúrgica Nacional	EQUITY
